"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"86","N","E1","P06","S",8581,"R","R",50,"M",42,NA,"Unknown",1,64,44,32,0.7,0.48,0.35,NA,32,-0.228001658011876,-0.118366187424616
"87","N","E1","P07","LS",9927,"R","R",27,"M",0,NA,NA,0.04,58,49,37,0.63,0.53,0.4,NA,32,0.271379415832721,0.279202995902702
"88","N","E1","P08","LS",11463,"R","R",26,"F",0,NA,NA,0,47,51,26,0.51,0.55,0.28,NA,32,-0.394048687446878,-0.465130993007469
"89","N","E1","P09","S",13189,"R","R",38,"M",30,NA,"College",2,77,43,36,0.84,0.47,0.39,NA,32,-0.393429522575914,-0.239922852258822
"90","N","E1","P10","S",14725,"R","R",27,"F",21,22,"College",0,52,48,27,0.57,0.52,0.29,NA,32,-0.172809697727492,-0.159089075240148
"91","N","E1","P11","S",16261,"R","R",28,"M",23,NA,"Club College",1.5,60,50,34,0.65,0.54,0.37,NA,32,-0.371721924608864,-0.305567102401733
"92","N","E1","P12","LS",17607,"R","R",26,"M",1,6,NA,0,63,46,33,0.68,0.5,0.36,NA,32,-0.415826783012006,-0.387270636544481
"93","N","E1","P13","S",19333,"R","L",22,"F",16,NA,"College",3,72,59,48,0.78,0.64,0.52,NA,32,-0.172727110398177,-0.239125704041344
"94","N","E1","P14","S",20869,"R","R",27,"F",10,26,"College",0,49,45,24,0.53,0.49,0.26,NA,32,-0.0335574273209195,-0.0577074618823636
"95","N","E1","P15","S",22405,"L","R",27,"F",21,NA,"High School",3,58,47,33,0.63,0.51,0.36,NA,32,-0.294009845578643,-0.351740739507941
"96","N","E1","P16","S",23941,"R","R",18,"F",10,17,"High School",0,61,47,32,0.66,0.51,0.35,NA,32,-0.509532319877342,-0.441812280175385
"97","N","E1","P17","S",25477,"R","R",26,"M",10,NA,"College",1,65,50,35,0.71,0.54,0.38,NA,32,-0.276140078298104,-0.147134858115852
"98","N","E1","P18","LS",26823,"R","R",26,"F",3,11,NA,0,56,42,27,0.61,0.46,0.29,NA,32,-0.382421783829747,-0.641151990154307
"99","N","E1","P19","LS",28359,"R","R",31,"M",2,10,NA,0,67,47,34,0.73,0.51,0.37,NA,32,0.0388284094000366,0.057640260344645
"100","N","E1","P20","S",30085,"R","R",33,"M",28,NA,"College",1.5,68,48,37,0.74,0.52,0.4,NA,32,-0.343910580060071,-0.310443807908487
"101","N","E1","P21","LS",31431,"R","R",29,"M",1.5,11,NA,0,60,50,32,0.65,0.54,0.35,NA,32,-0.117713660924234,-0.120836261607007
"102","N","E1","P22","LS",32967,"R","R",24,"M",0,NA,NA,0,60,55,34,0.65,0.6,0.37,NA,32,-0.340790053653474,-0.300422687218959
"103","N","E1","P23","LS",34503,"L","R",33,"M",3,9,NA,0,57,41,30,0.619565217,0.445652174,0.326086957,NA,32,-0.489217108399835,-0.213298131277998
"104","N","E1","P24","S",36229,"R","R",35,"M",30,NA,"Semi-Pro",3,31,27,14,0.563636364,0.490909091,0.254545455,NA,32,-0.639718159113652,-0.600439369221351
"105","N","E1","P25","LS",37575,"R","R",23,"F",2,NA,NA,0,49,51,32,0.532608696,0.554347826,0.347826087,NA,32,-1.32036447706583,-1.50231862477227
"106","N","E1","P26","LS",39111,"R","R",34,"F",0,NA,NA,0,52,47,26,0.565217391,0.510869565,0.282608696,NA,32,-0.245800956508731,-0.268561061932545
"107","N","E1","P27","LS",40647,"R","R",42,"M",0,NA,NA,0,47,42,25,0.510869565,0.456521739,0.27173913,NA,32,0.0900727930601894,-0.0608908782510987
"108","N","E1","P28","LS",42183,"R","R",26,"F",0,NA,NA,0,45,45,24,0.5,0.5,0.266666667,NA,32,-0.100896108941462,-0.27833059760064
"109","N","E1","P29","S",43909,"L","L",25,"F",16,18,"College",0,63,47,34,0.684782609,0.510869565,0.369565217,NA,32,-0.162034116285577,-0.235679773051959
"110","N","E1","P30","S",45445,"R","R",31,"M",27,NA,"Premier League",1,71,50,38,0.77173913,0.543478261,0.413043478,NA,32,-0.247994810606382,-0.315708280238906
"111","N","E1","P31","S",46981,"R","R",29,"M",25,NA,"Premier League",4,60,55,37,0.652173913,0.597826087,0.402173913,NA,32,-0.256561897838193,-0.230756496377986
"112","N","E1","P32","LS",48327,"R","R",25,"M",3,12,NA,0,64,50,34,0.695652174,0.543478261,0.369565217,NA,32,0.132840876473585,0.255744204079949
"113","N","E1","P33","LS",49863,"R","R",21,"F",0,NA,NA,0,55,43,28,0.597826087,0.467391304,0.304347826,NA,32,-0.0320197104849205,-0.0594825313277832
