"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"100","N","E1","P20","S",30047,"R","R",33,"M",28,NA,"College",1.5,68,48,37,0.74,0.52,0.4,NA,13,-0.267104676280047,-0.299278767522865
"101","N","E1","P21","LS",31514,"R","R",29,"M",1.5,11,NA,0,60,50,32,0.65,0.54,0.35,NA,13,0.11075221613146,0.0815075447652478
"102","N","E1","P22","LS",33050,"R","R",24,"M",0,NA,NA,0,60,55,34,0.65,0.6,0.37,NA,13,-0.340692447614519,-0.383927240019572
"103","N","E1","P23","LS",34586,"L","R",33,"M",3,9,NA,0,57,41,30,0.619565217,0.445652174,0.326086957,NA,13,-0.634782249546122,-0.306355021039692
"104","N","E1","P24","S",36191,"R","R",35,"M",30,NA,"Semi-Pro",3,31,27,14,0.563636364,0.490909091,0.254545455,NA,13,-0.536587211901066,-0.376079463880891
"105","N","E1","P25","LS",37658,"R","R",23,"F",2,NA,NA,0,49,51,32,0.532608696,0.554347826,0.347826087,NA,13,-1.24584898814352,-1.45557048020254
"106","N","E1","P26","LS",39194,"R","R",34,"F",0,NA,NA,0,52,47,26,0.565217391,0.510869565,0.282608696,NA,13,-0.293819230064831,-0.287167205075286
"107","N","E1","P27","LS",40730,"R","R",42,"M",0,NA,NA,0,47,42,25,0.510869565,0.456521739,0.27173913,NA,13,-0.288152871645112,-0.43942544550873
"108","N","E1","P28","LS",42266,"R","R",26,"F",0,NA,NA,0,45,45,24,0.5,0.5,0.266666667,NA,13,-0.0792320839164871,-0.0487720090762756
"109","N","E1","P29","S",43871,"L","L",25,"F",16,18,"College",0,63,47,34,0.684782609,0.510869565,0.369565217,NA,13,-0.150519071128455,-0.310715363844634
"110","N","E1","P30","S",45407,"R","R",31,"M",27,NA,"Premier League",1,71,50,38,0.77173913,0.543478261,0.413043478,NA,13,-0.14996427558285,-0.145827250048871
"111","N","E1","P31","S",46943,"R","R",29,"M",25,NA,"Premier League",4,60,55,37,0.652173913,0.597826087,0.402173913,NA,13,-0.359549588345586,-0.416963599691156
"112","N","E1","P32","LS",48410,"R","R",25,"M",3,12,NA,0,64,50,34,0.695652174,0.543478261,0.369565217,NA,13,0.121646523314778,0.295643418916336
"113","N","E1","P33","LS",49946,"R","R",21,"F",0,NA,NA,0,55,43,28,0.597826087,0.467391304,0.304347826,NA,13,0.00613396237262117,0.0234736899817492
"114","N","E1","P34","LS",51482,"R","R",32,"M",1,NA,NA,0.09,58,51,34,0.630434783,0.554347826,0.369565217,NA,13,-0.236057331749886,-0.208898611697029
"115","N","E1","P35","S",53087,"R","L",20,"M",16,18,NA,1,73,47,38,0.793478261,0.510869565,0.413043478,NA,13,-0.222924375379553,-0.164583302557702
"116","N","E1","P36","LS",54554,"R","L",26,"F",0,NA,NA,0,54,44,27,0.586956522,0.47826087,0.293478261,NA,13,-0.0148978997046579,-0.269223776490941
"117","N","E1","P37","S",56090,"R","L",25,"M",20,24,"College Club",1,75,46,40,0.815217391,0.5,0.434782609,NA,13,0.26141144572385,0.0826664728645265
"118","N","E1","P38","S",57626,"R","L",27,"F",22,NA,"Collegiate",4,69,47,34,0.75,0.510869565,0.369565217,NA,13,1.03362278027931,0.803778077409664
"119","N","E1","P39","S",59162,"R","R",26,"M",22,NA,"Professional Germany",4,65,42,34,0.706521739,0.456521739,0.369565217,NA,13,0.689255014578089,0.924359876486502
"120","N","E1","P40","S",60698,"R","R",27,"M",23,NA,"Club College",1.5,64,49,34,0.695652174,0.532608696,0.369565217,NA,13,0.950501646812125,1.065886544829
"121","N","E2","P01","LS",956,"R","R",34,"M",0,NA,NA,0,43,46,25,0.47,0.5,0.27,NA,13,-0.00970179790657986,-0.0737579026406699
"122","N","E2","P02","LS",2492,"R","R",26,"M",3,13,NA,0,66,49,37,0.72,0.53,0.4,NA,13,-0.467533114642664,-0.300122480886218
"123","N","E2","P03","LS",4028,"R","R",24,"M",1,NA,NA,0,48,45,26,0.52,0.49,0.28,NA,13,-0.667442514754287,-0.86537433884948
"124","N","E2","P04","S",5267,"R","R",33,"M",29,NA,"College",3.5,70,46,36,0.76,0.5,0.39,NA,13,-0.418139535732653,-0.726831648660583
"125","N","E2","P05","S",6803,"R","R",52,"M",48,NA,"Semi-Pro",3,69,45,37,0.75,0.49,0.4,NA,13,-0.201206161165829,-0.169707687119577
"126","N","E2","P06","S",8339,"R","R",50,"M",42,NA,"Unknown",1,64,44,32,0.7,0.48,0.35,NA,13,-0.0872875956156071,-0.107357072552485
"127","N","E2","P07","LS",10172,"R","R",27,"M",0,NA,NA,0.04,58,49,37,0.63,0.53,0.4,NA,13,-0.023388084521758,-0.0680206998558191
"128","N","E2","P08","LS",11708,"R","R",26,"F",0,NA,NA,0,47,51,26,0.51,0.55,0.28,NA,13,-0.583390519012509,-0.626447754520955
"129","N","E2","P09","S",12947,"R","R",38,"M",30,NA,"College",2,77,43,36,0.84,0.47,0.39,NA,13,-0.499332854569636,-0.419968394072578
"130","N","E2","P10","S",14483,"R","R",27,"F",21,22,"College",0,52,48,27,0.57,0.52,0.29,NA,13,-0.313496453926401,-0.35569677943437
"131","N","E2","P11","S",16019,"R","R",28,"M",23,NA,"Club College",1.5,60,50,34,0.65,0.54,0.37,NA,13,-0.669486742089633,-0.707618167008749
"132","N","E2","P12","LS",17852,"R","R",26,"M",1,6,NA,0,63,46,33,0.68,0.5,0.36,NA,13,-0.599822069768104,-0.699295967958793
"133","N","E2","P13","S",19091,"R","L",22,"F",16,NA,"College",3,72,59,48,0.78,0.64,0.52,NA,13,-0.373015697072584,-0.418109538717778
"134","N","E2","P14","S",20627,"R","R",27,"F",10,26,"College",0,49,45,24,0.53,0.49,0.26,NA,13,-0.0107912863863432,0.0165225322682598
"135","N","E2","P15","S",22163,"L","R",27,"F",21,NA,"High School",3,58,47,33,0.63,0.51,0.36,NA,13,-0.369208450296818,-0.521787616011155
"136","N","E2","P16","S",23699,"R","R",18,"F",10,17,"High School",0,61,47,32,0.66,0.51,0.35,NA,13,-0.556927833080574,-0.432605640630623
"137","N","E2","P17","S",25235,"R","R",26,"M",10,NA,"College",1,65,50,35,0.71,0.54,0.38,NA,13,-0.433150506613902,-0.293578124224666
"138","N","E2","P18","LS",27068,"R","R",26,"F",3,11,NA,0,56,42,27,0.61,0.46,0.29,NA,13,-0.545317937345712,-0.692949408933872
"139","N","E2","P19","LS",28604,"R","R",31,"M",2,10,NA,0,67,47,34,0.73,0.51,0.37,NA,13,-0.149867226418891,-0.2987587635533
"140","N","E2","P20","S",29843,"R","R",33,"M",28,NA,"College",1.5,68,48,37,0.74,0.52,0.4,NA,13,-0.476179010752615,-0.576857276714759
"141","N","E2","P21","LS",31676,"R","R",29,"M",1.5,11,NA,0,60,50,32,0.65,0.54,0.35,NA,13,-0.0630674007373225,-0.168905221689448
"142","N","E2","P22","LS",33212,"R","R",24,"M",0,NA,NA,0,60,55,34,0.65,0.6,0.37,NA,13,-0.450554888539434,-0.62023939743775
"143","N","E2","P23","LS",34748,"L","R",33,"M",3,9,NA,0,57,41,30,0.619565217,0.445652174,0.326086957,NA,13,-0.694704628667251,-0.429494975028811
"144","N","E2","P24","S",35987,"R","R",35,"M",30,NA,"Semi-Pro",3,31,27,14,0.563636364,0.490909091,0.254545455,NA,13,-0.691901681800423,-0.576588740526589
"145","N","E2","P25","LS",37820,"R","R",23,"F",2,NA,NA,0,49,51,32,0.532608696,0.554347826,0.347826087,NA,13,-0.303846562711964,-0.539822529937681
"146","N","E2","P26","LS",39356,"R","R",34,"F",0,NA,NA,0,52,47,26,0.565217391,0.510869565,0.282608696,NA,13,-0.445949380605802,-0.473351333727123
"147","N","E2","P27","LS",40892,"R","R",42,"M",0,NA,NA,0,47,42,25,0.510869565,0.456521739,0.27173913,NA,13,-0.507544247305104,-0.660161416390359
"148","N","E2","P28","LS",42428,"R","R",26,"F",0,NA,NA,0,45,45,24,0.5,0.5,0.266666667,NA,13,-0.185119242558921,-0.200622969387594
"149","N","E2","P29","S",43667,"L","L",25,"F",16,18,"College",0,63,47,34,0.684782609,0.510869565,0.369565217,NA,13,-0.272562375553262,-0.537061855965453
"150","N","E2","P30","S",45203,"R","R",31,"M",27,NA,"Premier League",1,71,50,38,0.77173913,0.543478261,0.413043478,NA,13,-0.276050032997416,-0.305338081892604
"151","N","E2","P31","S",46739,"R","R",29,"M",25,NA,"Premier League",4,60,55,37,0.652173913,0.597826087,0.402173913,NA,13,-0.50020679386801,-0.590591444003691
"152","N","E2","P32","LS",48572,"R","R",25,"M",3,12,NA,0,64,50,34,0.695652174,0.543478261,0.369565217,NA,13,0.011602721410925,0.100779319877572
"153","N","E2","P33","LS",50108,"R","R",21,"F",0,NA,NA,0,55,43,28,0.597826087,0.467391304,0.304347826,NA,13,-0.0745045572404953,-0.22180167938137
"154","N","E2","P34","LS",51644,"R","R",32,"M",1,NA,NA,0.09,58,51,34,0.630434783,0.554347826,0.369565217,NA,13,-0.373990136100318,-0.406230383591818
"155","N","E2","P35","S",52883,"R","L",20,"M",16,18,NA,1,73,47,38,0.793478261,0.510869565,0.413043478,NA,13,-0.373192967545785,-0.387594296926964
"156","N","E2","P36","LS",54716,"R","L",26,"F",0,NA,NA,0,54,44,27,0.586956522,0.47826087,0.293478261,NA,13,-0.154473861744073,-0.441981314705733
"157","N","E2","P37","S",56252,"R","L",25,"M",20,24,"College Club",1,75,46,40,0.815217391,0.5,0.434782609,NA,13,0.0153959268274362,-0.17587702166119
"158","N","E2","P38","S",57788,"R","L",27,"F",22,NA,"Collegiate",4,69,47,34,0.75,0.510869565,0.369565217,NA,13,0.883560242008146,0.635313019878776
"159","N","E2","P39","S",59324,"R","R",26,"M",22,NA,"Professional Germany",4,65,42,34,0.706521739,0.456521739,0.369565217,NA,13,0.518741939193484,0.590308929797585
"160","N","E2","P40","S",60860,"R","R",27,"M",23,NA,"Club College",1.5,64,49,34,0.695652174,0.532608696,0.369565217,NA,13,0.810075141144959,0.617511373023937
"161","O","E1","P01","LS",1050,"R","R",34,"M",0,NA,NA,0,47,45,20,0.52,0.5,0.22,NA,13,-0.066943391627332,-0.163665996666545
"162","O","E1","P02","LS",2586,"R","R",26,"M",3,13,NA,0,48,42,21,0.53,0.47,0.23,NA,13,-1.11471268280412,-0.936588496996483
"163","O","E1","P03","LS",4122,"R","R",24,"M",1,NA,NA,0,57,46,31,0.63,0.51,0.34,NA,13,-0.237466609350893,-0.397824802253842
"164","O","E1","P04","S",5806,"R","R",33,"M",29,NA,"College",3.5,50,37,24,0.56,0.41,0.27,NA,13,-0.291477778096629,-0.377493987008369
"165","O","E1","P05","S",7342,"R","R",52,"M",48,NA,"Semi-Pro",3,49,47,31,0.54,0.52,0.34,NA,13,-0.0364916568242191,-0.0387611034577774
"166","O","E1","P06","S",8878,"R","R",50,"M",42,NA,"Unknown",1,51,43,23,0.57,0.48,0.26,NA,13,-0.00840694487894965,-0.0370712052599218
