"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"47","B","E1","Right","P07","LS",19026,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,30,0.00889110399001824,0.00160644703622557,0.0161757609438109,0.0196341061029778,0.171530065051734,-0.132261852845778
"48","B","E1","Right","P08","LS",22021,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,30,-0.467520962686034,-0.460693920208105,-0.474348005163962,-0.561524955671976,-0.487272141030315,-0.635777770313637
"49","B","E1","Right","P09","S",25014,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,30,-0.441399497079006,-0.435843951855797,-0.446955042302215,-0.223362635638055,-0.0301880535546336,-0.416537217721476
"50","B","E1","Right","P10","S",28008,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,30,-0.0940007535194911,-0.0744690986223404,-0.113532408416642,-0.158720745243124,-0.241404167961055,-0.0760373225251928
"51","B","E1","Right","P11","S",31245,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,30,-0.419202824212455,-0.400854899330822,-0.437550749094089,-0.2746414564104,-0.186824266540523,-0.362458646280278
"52","B","E1","Right","P12","LS",34361,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,30,-0.374574062425666,-0.380503958641396,-0.368644166209936,-0.388765534849445,-0.320032517695408,-0.457498552003482
"53","B","E1","Right","P13","S",36989,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,30,-0.278020513557205,-0.294265132683416,-0.261775894430994,-0.291250141330958,-0.587908688569013,0.00540840590709741
"54","B","E1","Right","P14","S",40349,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",30,-0.126829191349622,-0.233891802756592,-0.0197665799426514,-0.106057212897091,-0.186772317343856,-0.0253421084503254
"55","B","E1","Right","P15","S",43342,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,30,-0.391063562281077,-0.351022536076363,-0.431104588485791,-0.356850953073965,-0.37844785777896,-0.335254048368971
"56","B","E1","Right","P16","S",46701,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,30,-0.527278793683934,-0.725087601429132,-0.329469985938737,-0.652984155959129,-0.774893357994091,-0.531074953924168
"57","B","E1","Right","P17","S",49330,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,30,-0.213459872036635,0.004269648498264,-0.431189392571534,-0.0562745115876652,0.00375379874227979,-0.11630282191761
"58","B","E1","Right","P18","LS",52688,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,30,-0.335137155042979,-0.439264914960948,-0.231009395125011,-0.43558701745872,-0.560005154536937,-0.311168880380503
"59","B","E1","Right","P19","LS",56047,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,30,-0.0347181523351311,-0.0628683180648668,-0.00656798660539535,0.00428714839809797,-0.00591628435880313,0.0144905811549991
"60","B","E1","Right","P20","S",58675,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,30,-0.399466147921586,-0.436762090552012,-0.36217020529116,-0.304685841988582,-0.305455444401518,-0.303916239575646
"61","B","E1","Right","P21","LS",62401,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,30,-0.10593575697621,-0.202068719602454,-0.00980279434996698,-0.161810485521054,-0.26417234912937,-0.0594486219127378
"62","B","E1","Right","P22","LS",65030,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,30,-0.341303488307428,-0.502481076447629,-0.180125900167227,-0.415216471131886,-0.561374944811208,-0.269057997452564
"63","B","E1","Right","P23","LS",68024,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,30,-0.636295919768171,-0.761372654651751,-0.51121918488459,-0.16767223932191,-0.0208219299861803,-0.314522548657639
"64","B","E1","Right","P24","S",71017,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,30,-0.658500508482949,-0.736133915686951,-0.580867101278947,-0.631435313909647,-0.634982861259591,-0.627887766559702
"65","B","E1","Right","P25","LS",74376,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,30,-0.178382678096485,-0.230959570865801,-0.125805785327168,-0.35135771889907,-0.373330878409123,-0.329384559389017
"66","B","E1","Right","P26","LS",77734,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,30,-0.239568613957212,-0.147743544741953,-0.331393683172471,-0.141240221798231,-0.134859391735595,-0.147621051860867
"67","B","E1","Right","P27","LS",80365,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,30,0.0636147792455585,0.400702666680334,-0.273473108189217,-0.167461830507044,-0.131490141479193,-0.203433519534894
"68","B","E1","Right","P28","LS",83358,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,30,-1.04210407439306,-1.18563135939411,-0.898576789392004,-1.18531228232048,-1.42087907869546,-0.949745485945511
"69","B","E1","Right","P29","S",86352,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,30,-0.105320814629758,-0.0321750316777591,-0.178466597581756,-0.317069451119622,-0.349739184170361,-0.284399718068884
"70","B","E1","Right","P30","S",89345,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,30,-0.277863379757812,-0.291723097779626,-0.264003661735997,-0.168725175865345,-0.193886302348013,-0.143564049382676
"71","B","E1","Right","P31","S",92704,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,30,-0.230524067331663,-0.176986819942535,-0.284061314720791,-0.235897704953644,-0.16061211083687,-0.311183299070419
"72","B","E1","Right","P32","LS",95698,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,30,-0.00114016357309079,0.00841189652462355,-0.0106922236708052,0.131612587098719,0.204731383227597,0.0584937909698404
"73","B","E1","Right","P33","LS",99328,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,30,-0.261487790793085,-0.476957964286279,-0.0460176172998918,-0.286559232696713,-0.295390685445135,-0.277727779948291
"74","B","E1","Right","P34","LS",102051,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,30,-0.167395488722592,-0.055023179182961,-0.279767798262224,-0.387289156243787,-0.494505462021631,-0.280072850465944
"75","B","E1","Right","P35","S",104679,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,30,-0.0951259686916194,-0.0612188024455072,-0.129033134937732,-0.214898291907054,-0.108965139889496,-0.320831443924612
"76","B","E1","Right","P36","LS",108403,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,30,-0.117326920481207,-0.0927087645975758,-0.141945076364839,-0.397131154178844,-0.465785075710701,-0.328477232646988
"77","B","E1","Right","P37","S",111032,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,30,0.00546296253607335,-0.151522887331371,0.162448812403518,-0.0483540854007325,-0.128511835124812,0.0318036643233471
"78","B","E1","Right","P38","S",114685,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,30,1.17682055887036,1.04606475923883,1.30757635850188,0.822037955476433,0.913916617479399,0.730159293473467
"79","B","E1","Right","P39","S",117384,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,30,0.824103867410421,0.704757350121943,0.943450384698898,1.05310187731371,1.08074328299089,1.02546047163654
