"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"58","B","E1","Right","P18","LS",52409,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,-0.432519582754092,-0.559620388030855,-0.305418777477329,-0.326614000343364,-0.42238089778177,-0.230847102904959
"59","B","E1","Right","P19","LS",55526,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,-0.139595890104495,-0.183560766462045,-0.0956310137469456,-0.15933473991709,-0.141248629948617,-0.177420849885563
"60","B","E1","Right","P20","S",59005,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,-0.315024711012022,-0.397268834457227,-0.232780587566817,-0.181291015936327,-0.170216978301329,-0.192365053571325
"61","B","E1","Right","P21","LS",61759,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,0.0842081680385258,0.104801735277032,0.0636146008000191,0.0500960430366463,0.0520605205446213,0.0481315655286715
"62","B","E1","Right","P22","LS",64670,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,-0.307155099921946,-0.482569749430788,-0.131740450413104,-0.43687341038279,-0.441290180896601,-0.432456639868979
"63","B","E1","Right","P23","LS",67745,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,-0.737569771168071,-0.8650249602993,-0.610114582036842,-0.320687119237902,-0.207428952952246,-0.433945285523557
"64","B","E1","Right","P24","S",70983,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.577868777844673,-0.666667311097756,-0.489070244591591,-0.387193466320191,-0.414644646824264,-0.359742285816118
"65","B","E1","Right","P25","LS",73855,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.109924676052203,-0.103050978269207,-0.116798373835199,-0.327144349251593,-0.375747268375038,-0.278541430128148
"66","B","E1","Right","P26","LS",77092,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.295942043361587,-0.275547487481716,-0.316336599241459,-0.250279136849181,-0.158551589146663,-0.342006684551699
"67","B","E1","Right","P27","LS",80005,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,-0.260871562598728,-0.14424098267979,-0.377502142517666,-0.488485357833575,-0.423307230730758,-0.553663484936392
"68","B","E1","Right","P28","LS",83079,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,13,-0.839540393711252,-0.851790777926491,-0.827290009496012,-0.876153847024069,-0.929381770022728,-0.822925924025411
"69","B","E1","Right","P29","S",86926,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,13,-0.199180293590976,-0.158336294424255,-0.240024292757697,-0.341914880418729,-0.281865980919441,-0.401963779918017
