"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both_r","P_Avg_Both_r"
"99","N","E1","P19","LS",28442,"R","R",31,"M",2,10,NA,0,67,47,34,0.73,0.51,0.37,NA,13,0.0924038118302345,0.110663169663835
"100","N","E1","P20","S",30047,"R","R",33,"M",28,NA,"College",1.5,68,48,37,0.74,0.52,0.4,NA,13,-0.0768059037800243,-0.0111650403856219
"101","N","E1","P21","LS",31514,"R","R",29,"M",1.5,11,NA,0,60,50,32,0.65,0.54,0.35,NA,13,-0.228465877055693,-0.202343806372255
"102","N","E1","P22","LS",33050,"R","R",24,"M",0,NA,NA,0,60,55,34,0.65,0.6,0.37,NA,13,-9.76060389545341e-05,0.0835045528006135
"103","N","E1","P23","LS",34586,"L","R",33,"M",3,9,NA,0,57,41,30,0.619565217,0.445652174,0.326086957,NA,13,0.145565141146287,0.0930568897616947
"104","N","E1","P24","S",36191,"R","R",35,"M",30,NA,"Semi-Pro",3,31,27,14,0.563636364,0.490909091,0.254545455,NA,13,-0.103130947212586,-0.22435990534046
"105","N","E1","P25","LS",37658,"R","R",23,"F",2,NA,NA,0,49,51,32,0.532608696,0.554347826,0.347826087,NA,13,-0.0745154889223123,-0.0467481445697291
"106","N","E1","P26","LS",39194,"R","R",34,"F",0,NA,NA,0,52,47,26,0.565217391,0.510869565,0.282608696,NA,13,0.0480182735561003,0.0186061431427414
"107","N","E1","P27","LS",40730,"R","R",42,"M",0,NA,NA,0,47,42,25,0.510869565,0.456521739,0.27173913,NA,13,0.378225664705301,0.378534567257631
"108","N","E1","P28","LS",42266,"R","R",26,"F",0,NA,NA,0,45,45,24,0.5,0.5,0.266666667,NA,13,-0.0216640250249744,-0.229558588524364
"109","N","E1","P29","S",43871,"L","L",25,"F",16,18,"College",0,63,47,34,0.684782609,0.510869565,0.369565217,NA,13,-0.0115150451571211,0.0750355907926748
"110","N","E1","P30","S",45407,"R","R",31,"M",27,NA,"Premier League",1,71,50,38,0.77173913,0.543478261,0.413043478,NA,13,-0.0980305350235318,-0.169881030190035
"111","N","E1","P31","S",46943,"R","R",29,"M",25,NA,"Premier League",4,60,55,37,0.652173913,0.597826087,0.402173913,NA,13,0.102987690507393,0.18620710331317
"112","N","E1","P32","LS",48410,"R","R",25,"M",3,12,NA,0,64,50,34,0.695652174,0.543478261,0.369565217,NA,13,0.0111943531588067,-0.0398992148363866
"113","N","E1","P33","LS",49946,"R","R",21,"F",0,NA,NA,0,55,43,28,0.597826087,0.467391304,0.304347826,NA,13,-0.0381536728575417,-0.0829562213095324
"114","N","E1","P34","LS",51482,"R","R",32,"M",1,NA,NA,0.09,58,51,34,0.630434783,0.554347826,0.369565217,NA,13,0.0872328037994066,0.0168067850281011
"115","N","E1","P35","S",53087,"R","L",20,"M",16,18,NA,1,73,47,38,0.793478261,0.510869565,0.413043478,NA,13,0.0781482692404967,-0.0363627815542832
"116","N","E1","P36","LS",54554,"R","L",26,"F",0,NA,NA,0,54,44,27,0.586956522,0.47826087,0.293478261,NA,13,-0.111917493465361,-0.10010710620013
"117","N","E1","P37","S",56090,"R","L",25,"M",20,24,"College Club",1,75,46,40,0.815217391,0.5,0.434782609,NA,13,-0.185418734215263,-0.090746220301825
"118","N","E1","P38","S",57626,"R","L",27,"F",22,NA,"Collegiate",4,69,47,34,0.75,0.510869565,0.369565217,NA,13,0.150342989729537,0.195481315401211
"119","N","E1","P39","S",59162,"R","R",26,"M",22,NA,"Professional Germany",4,65,42,34,0.706521739,0.456521739,0.369565217,NA,13,0.275799270031788,0.132092654110344
"120","N","E1","P40","S",60698,"R","R",27,"M",23,NA,"Club College",1.5,64,49,34,0.695652174,0.532608696,0.369565217,NA,13,0.223187251861932,0.181864417427786
"121","N","E2","P01","LS",956,"R","R",34,"M",0,NA,NA,0,43,46,25,0.47,0.5,0.27,NA,13,-0.107533784333712,-0.0494835960027163
"122","N","E2","P02","LS",2492,"R","R",26,"M",3,13,NA,0,66,49,37,0.72,0.53,0.4,NA,13,-0.0599944539996921,-0.0687766777949009
"123","N","E2","P03","LS",4028,"R","R",24,"M",1,NA,NA,0,48,45,26,0.52,0.49,0.28,NA,13,0.0316563159907727,0.0363758885633427
"124","N","E2","P04","S",5267,"R","R",33,"M",29,NA,"College",3.5,70,46,36,0.76,0.5,0.39,NA,13,0.0781868644436252,0.287941533782921
"125","N","E2","P05","S",6803,"R","R",52,"M",48,NA,"Semi-Pro",3,69,45,37,0.75,0.49,0.4,NA,13,0.17914807658487,0.177654317422857
"126","N","E2","P06","S",8339,"R","R",50,"M",42,NA,"Unknown",1,64,44,32,0.7,0.48,0.35,NA,13,-0.2350176474522,-0.100714679579332
"127","N","E2","P07","LS",10172,"R","R",27,"M",0,NA,NA,0.04,58,49,37,0.63,0.53,0.4,NA,13,-0.0999898921968003,-0.0430056320810018
"128","N","E2","P08","LS",11708,"R","R",26,"F",0,NA,NA,0,47,51,26,0.51,0.55,0.28,NA,13,0.0781391524404402,0.0349084177966068
"129","N","E2","P09","S",12947,"R","R",38,"M",30,NA,"College",2,77,43,36,0.84,0.47,0.39,NA,13,-0.0213464040116302,-0.0101977833887829
"130","N","E2","P10","S",14483,"R","R",27,"F",21,22,"College",0,52,48,27,0.57,0.52,0.29,NA,13,0.0183876714067318,0.0582613885060924
"131","N","E2","P11","S",16019,"R","R",28,"M",23,NA,"Club College",1.5,60,50,34,0.65,0.54,0.37,NA,13,0.154347736236232,0.169338608577903
"132","N","E2","P12","LS",17852,"R","R",26,"M",1,6,NA,0,63,46,33,0.68,0.5,0.36,NA,13,0.0652308219566529,0.187985475279738
"133","N","E2","P13","S",19091,"R","L",22,"F",16,NA,"College",3,72,59,48,0.78,0.64,0.52,NA,13,0.0611437545232744,0.0347010625376942
"134","N","E2","P14","S",20627,"R","R",27,"F",10,26,"College",0,49,45,24,0.53,0.49,0.26,NA,13,-0.19688734209092,-0.260802163919752
"135","N","E2","P15","S",22163,"L","R",27,"F",21,NA,"High School",3,58,47,33,0.63,0.51,0.36,NA,13,-0.0448326241526226,0.0419868050330811
"136","N","E2","P16","S",23699,"R","R",18,"F",10,17,"High School",0,61,47,32,0.66,0.51,0.35,NA,13,-0.0551021578511707,-0.132666310075797
"137","N","E2","P17","S",25235,"R","R",26,"M",10,NA,"College",1,65,50,35,0.71,0.54,0.38,NA,13,0.0441677551422648,0.00517339408012685
"138","N","E2","P18","LS",27068,"R","R",26,"F",3,11,NA,0,56,42,27,0.61,0.46,0.29,NA,13,0.0206086023757149,-0.0543623125646105
"139","N","E2","P19","LS",28604,"R","R",31,"M",2,10,NA,0,67,47,34,0.73,0.51,0.37,NA,13,0.079190364730329,0.230763829114817
"140","N","E2","P20","S",29843,"R","R",33,"M",28,NA,"College",1.5,68,48,37,0.74,0.52,0.4,NA,13,-0.0470447376652298,0.083386012805827
"141","N","E2","P21","LS",31676,"R","R",29,"M",1.5,11,NA,0,60,50,32,0.65,0.54,0.35,NA,13,-0.174440755445639,-0.106585210900573
"142","N","E2","P22","LS",33212,"R","R",24,"M",0,NA,NA,0,60,55,34,0.65,0.6,0.37,NA,13,-0.0109396847474603,0.139663072558951
"143","N","E2","P23","LS",34748,"L","R",33,"M",3,9,NA,0,57,41,30,0.619565217,0.445652174,0.326086957,NA,13,0.0978919386441859,0.106882700527669
"144","N","E2","P24","S",35987,"R","R",35,"M",30,NA,"Semi-Pro",3,31,27,14,0.563636364,0.490909091,0.254545455,NA,13,-0.0727790121496021,-0.145081824305037
"145","N","E2","P25","LS",37820,"R","R",23,"F",2,NA,NA,0,49,51,32,0.532608696,0.554347826,0.347826087,NA,13,-0.040579139677053,0.000834704941605424
"146","N","E2","P26","LS",39356,"R","R",34,"F",0,NA,NA,0,52,47,26,0.565217391,0.510869565,0.282608696,NA,13,0.0689656442846148,0.078950612897682
