"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Single_Med","P_Avg_Single_Med","CP_Avg_Hem_r","P_Avg_Hem_r","CP_Avg_Single_r","P_Avg_Single_r","CP_Avg_Single_Med_r","P_Avg_Single_Med_r"
"58","B","E1","Right","P18","LS",52409,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,-0.305418777477329,-0.230847102904959,0.0973824277111125,-0.108973017115356,0.120355473069907,-0.137624256755167,0.0744093823523184,-0.0803217774755444
"59","B","E1","Right","P19","LS",55526,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,-0.0956310137469456,-0.177420849885563,0.104877737769364,0.163621888315188,0.120692448397178,0.135332345589814,0.0890630271415502,0.191911431040562
"60","B","E1","Right","P20","S",59005,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,-0.232780587566817,-0.192365053571325,-0.0844414369095638,-0.123394826052256,-0.039493256094785,-0.135238466100189,-0.129389617724343,-0.111551186004321
"61","B","E1","Right","P21","LS",61759,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,0.0636146008000191,0.0481315655286715,-0.190143925014736,-0.2119065285577,-0.306870454879486,-0.316232869673992,-0.073417395149986,-0.107580187441409
"62","B","E1","Right","P22","LS",64670,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,-0.131740450413104,-0.432456639868979,-0.0341483883854824,0.0216569392509045,-0.0199113270168411,-0.120084763914606,-0.0483854497541235,0.163398642416415
"63","B","E1","Right","P23","LS",67745,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,-0.610114582036842,-0.433945285523557,0.1012738513999,0.153014879915992,0.103652305647549,0.186607022966065,0.0988953971522523,0.119422736865918
"64","B","E1","Right","P24","S",70983,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.489070244591591,-0.359742285816118,-0.0806317306382757,-0.244241847589456,-0.0694666045891954,-0.220338214435327,-0.0917968566873558,-0.268145480743584
"65","B","E1","Right","P25","LS",73855,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.116798373835199,-0.278541430128148,-0.0684580020442812,-0.0242133696474769,-0.127908592596594,0.00241638996591437,-0.00900741149196878,-0.0508431292608683
"66","B","E1","Right","P26","LS",77092,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.316336599241459,-0.342006684551699,0.0563734294043753,0.10903891505095,0.127803942739763,0.0236921974110681,-0.0150570839310121,0.194385632690832
"67","B","E1","Right","P27","LS",80005,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,-0.377502142517666,-0.553663484936392,0.324486341844286,0.321023527326531,0.544943649360124,0.291817089251565,0.104029034328449,0.350229965401497
"68","B","E1","Right","P28","LS",83079,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,13,-0.827290009496012,-0.822925924025411,-0.202563680681806,-0.309158435296414,-0.333840581467621,-0.491497308672728,-0.0712867798959923,-0.1268195619201
"69","B","E1","Right","P29","S",86926,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,13,-0.240024292757697,-0.401963779918017,0.0938594789612183,0.024845429299107,0.126161262746496,-0.0678732032509194,0.0615576951759404,0.117564061849133
"70","B","E1","Right","P30","S",89798,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,13,-0.199570932682726,0.0723434494183906,-0.100928723411988,-0.164558999430152,-0.137424717770705,-0.113210500059238,-0.0644327290532707,-0.215907498801067
"71","B","E1","Right","P31","S",93131,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,13,-0.308016880915255,-0.3567576673591,0.109069996242696,0.20757025573478,0.19418442629093,0.36956614318088,0.0239555661944634,0.0455743682886811
"72","B","E1","Right","P32","LS",95419,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,13,-0.00605098599784543,0.0342693669391582,0.0014589420747848,0.0120819833438214,0.00755912182252936,-6.04573430396382e-05,-0.00464123767295975,0.0242244240306822
"73","B","E1","Right","P33","LS",98452,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,13,0.0424438305602402,-0.103808315601026,-0.165009328481426,-0.329370350465982,-0.241557209102719,-0.484821236584698,-0.088461447860132,-0.173919464347266
"74","B","E1","Right","P34","LS",101530,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,13,-0.384612611997282,-0.23874655180715,0.0609439113252453,-0.0396167977928812,0.017043008915432,-0.0379072969269685,0.104844813735058,-0.0413262986587937
"75","B","E1","Right","P35","S",105009,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,13,-0.296163165471852,-0.401222661441071,0.175213460491252,0.0263569607616251,0.183296890448384,-0.0276772959932081,0.16713003053412,0.0803912175164584
"76","B","E1","Right","P36","LS",107761,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,13,0.0318506615212918,-0.222121724680806,-0.123978962008561,-0.10699128660662,-0.0741621861309925,-0.107627065247057,-0.173795737886131,-0.106355507966182
"77","B","E1","Right","P37","S",110753,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,13,0.394502157414449,0.126930455938074,-0.263227127770528,-0.123329062594421,-0.294400910530124,-0.151531333574114,-0.232053345010931,-0.0951267916147272
"78","B","E1","Right","P38","S",113787,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,0.982272131826704,0.673873180525034,0.237221496308769,0.159707340131742,0.149138765942365,0.263128567315051,0.325304226675173,0.0562861129484331
"79","B","E1","Right","P39","S",116863,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.721296314911309,0.865401957983665,0.249818745781045,0.140220440011281,0.277483421774502,0.120382366369693,0.222154069787589,0.160058513652871
"80","B","E1","Right","P40","S",119980,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,1.2793526563367,1.02627062454729,0.152787537730077,0.160318346239824,0.320488685451473,0.16373096714041,-0.0149136099913216,0.156905725339236
"81","B","E2","Left","P01","LS",203,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,0.0662270362529552,-0.0996871296833746,-0.0588575810751214,0.123341093899281,-0.0157746525992693,0.219441147711767,-0.101940509550974,0.027241040086794
"82","B","E2","Left","P02","LS",3195,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.637041366117221,-0.784666169442972,-0.0209189824668327,0.00465873461677169,0.130327000596387,0.0205131818027521,-0.172164965530053,-0.0111957125692086
"83","B","E2","Left","P03","LS",6557,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.553020200820592,-0.523885932334148,-0.048096532719258,0.0133621591654955,-0.193475771665849,-0.0770080682463438,0.0972827062273332,0.103732386577335
"84","B","E2","Left","P04","S",9725,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.535616039884611,-0.622037933652274,0.0261051094742039,0.154570813495183,-0.049294635365714,0.0437821973830175,0.101504854314122,0.265359429607348
"85","B","E2","Left","P05","S",13261,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.287905212001051,-0.191248639619474,0.124000281585725,0.228498748967329,0.176931245524632,0.28369676113755,0.0710693176468176,0.173300736797108
"86","B","E2","Left","P06","S",16077,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.20111425559204,-0.185895360265523,-0.164421899540833,-0.0971895380025355,-0.168262477254263,-0.211345784033039,-0.160581321827403,0.0169667080279682
"87","B","E2","Left","P07","LS",18583,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,-0.142210960987591,-0.165578479772572,-0.178056920368426,-0.096215427835794,-0.293897990672655,-0.169052731284654,-0.0622158500641959,-0.0233781243869345
"88","B","E2","Left","P08","LS",21699,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.80725458996153,-0.604931963455585,0.156162389462372,0.0792963914571291,0.099253679025564,0.0221424367609055,0.21307109989918,0.136450346153352
"89","B","E2","Left","P09","S",25060,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.318223011915058,-0.406017500318611,-0.0740493367891203,-0.0595384309031623,-0.0183846643275882,-0.00144345783032951,-0.129714009250653,-0.117633403975995
"90","B","E2","Left","P10","S",28621,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.33565903637906,-0.431353449677476,-0.0159319012868404,0.0786885362874308,0.0524402172196042,0.0565078322797673,-0.0843040197932849,0.100869240295094
"91","B","E2","Left","P11","S",31412,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.653145293683569,-0.545037826877193,0.150051949391301,0.0656700942475045,0.243842295936129,-0.0151913721269819,0.0562616028464733,0.146531560621991
"92","B","E2","Left","P12","LS",33917,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.771661443348563,-0.827302308052583,0.0942203963974477,0.239740920940361,0.066389686120903,0.285983856798392,0.122051106673992,0.193497985082331
"93","B","E2","Left","P13","S",37643,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,-0.013593448752964,-0.242375278661407,-0.110076117837425,-0.156584542775425,-0.0532751594179804,-0.198097603577067,-0.166877076256869,-0.115071481973784
"94","B","E2","Left","P14","S",40514,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,0.106282374080032,0.132842436365173,-0.160872423803234,-0.263315669679918,-0.17648029626732,-0.262302967644547,-0.145264551339148,-0.264328371715289
"95","B","E2","Left","P15","S",43970,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.43616398140328,-1.00051464477678,0.0114138786734456,0.193948504296723,-0.0242045070991685,0.0300360703900288,0.0470322644460594,0.357860938203418
